model,hidden_channels,learning_rate,precision_val_macro,recall_val_macro,f1_val_macro,auc_val_macro
GCN,128,0.0005,0.750582751,0.702407095,0.723920351,0.695094565
GAT,128,0.0005,0.751698643,0.705025338,0.726229076,0.698823156
GIN,128,0.0005,0.772750243,0.680377252,0.71434827,0.682128459
GCN,128,0.001057371,0.762922078,0.706404842,0.732403814,0.706714554
GAT,128,0.001057371,0.773931624,0.685261824,0.726409145,0.709545911
GIN,128,0.001057371,0.758123512,0.660571509,0.702154988,0.677454763
GCN,128,0.002236068,0.765404822,0.706587838,0.734126038,0.708168334
GAT,128,0.002236068,0.753867028,0.682643581,0.715232247,0.692080979
GIN,128,0.002236068,0.763574521,0.654363739,0.696493642,0.674655972
GCN,128,0.004728708,0.762556645,0.716286599,0.737532116,0.708207157
GAT,128,0.004728708,0.79503206,0.702449324,0.745785666,0.732237859
GIN,128,0.004728708,0.740786676,0.735205518,0.727235489,0.66062816
GCN,128,0.01,0.770639726,0.702083333,0.734480254,0.708640645
GAT,128,0.01,0.75939581,0.701351351,0.726236399,0.703882714
GIN,128,0.01,0.774334757,0.659600225,0.695749027,0.666872626
GCN,64,0.0005,0.737724531,0.678462838,0.704324435,0.677283072
GAT,64,0.0005,0.759014085,0.716469595,0.736321614,0.704850378
GIN,64,0.0005,0.787465548,0.672564752,0.716292696,0.690958125
GCN,64,0.001057371,0.766737616,0.712288851,0.736869369,0.711380696
GAT,64,0.001057371,0.749967971,0.697719595,0.720617478,0.694141477
GIN,64,0.001057371,0.775675676,0.64379223,0.691533581,0.670704118
GCN,64,0.002236068,0.762284098,0.699648086,0.728808078,0.703669651
GAT,64,0.002236068,0.719425426,0.616089527,0.663756742,0.641534192
GIN,64,0.002236068,0.774839744,0.644946509,0.700066138,0.682016322
GCN,64,0.004728708,0.762755608,0.700337838,0.729397799,0.703319196
GAT,64,0.004728708,0.774807824,0.697804054,0.733984752,0.710254376
GIN,64,0.004728708,0.761489063,0.696875,0.716327981,0.674526616
GCN,64,0.01,0.759113986,0.701393581,0.728768545,0.69970346
GAT,64,0.01,0.786810356,0.734670608,0.758839471,0.734945635
GIN,64,0.01,0.802113165,0.670495495,0.718679918,0.698515805
GCN,32,0.0005,0.731969515,0.681264077,0.704619293,0.672120615
GAT,32,0.0005,0.733343956,0.652857545,0.690724285,0.664757139
GIN,32,0.0005,0.773740857,0.637781532,0.698849843,0.68744476
GCN,32,0.001057371,0.752287527,0.685585586,0.715495269,0.692885031
GAT,32,0.001057371,0.708362942,0.668989302,0.688111935,0.640092778
GIN,32,0.001057371,0.782832149,0.638696509,0.700161739,0.688540819
GCN,32,0.002236068,0.757962963,0.689766329,0.721568627,0.697004635
GAT,32,0.002236068,0.744811095,0.69473536,0.714054255,0.688200659
GIN,32,0.002236068,0.75970337,0.671692005,0.706877624,0.67748074
GCN,32,0.004728708,0.769258148,0.698268581,0.731565875,0.708819263
GAT,32,0.004728708,0.762641348,0.731587838,0.746706192,0.711352313
GIN,32,0.004728708,0.768879243,0.627069257,0.688046459,0.674468359
GCN,32,0.01,0.766769073,0.705025338,0.734006183,0.707720559
GAT,32,0.01,0.769675926,0.706221847,0.735121988,0.712128945
GIN,32,0.01,0.761385241,0.692835023,0.720490819,0.681851029
GCN,16,0.0005,0.709373338,0.658614865,0.671041207,0.64647786
GAT,16,0.0005,0.749541553,0.629518581,0.676780627,0.676281924
GIN,16,0.0005,0.747538678,0.620537725,0.671022786,0.656380683
GCN,16,0.001057371,0.743991229,0.670509572,0.704348129,0.679812754
GAT,16,0.001057371,0.691524796,0.475957207,0.369809723,0.546258723
GIN,16,0.001057371,0.757084551,0.686585023,0.715904633,0.678392554
GCN,16,0.002236068,0.768096139,0.685078829,0.723387286,0.704643856
GAT,16,0.002236068,0.726106755,0.732742117,0.724637681,0.683513105
GIN,16,0.002236068,0.773290628,0.634966216,0.683290206,0.669739387
GCN,16,0.004728708,0.760696881,0.705898086,0.731918186,0.701260381
GAT,16,0.004728708,0.769415857,0.587880068,0.658861627,0.677791318
GIN,16,0.004728708,0.774587592,0.641539977,0.688046297,0.663014916
GCN,16,0.01,0.755282022,0.710909347,0.731203858,0.700012641
GAT,16,0.01,0.784724489,0.727407095,0.754833413,0.72714189
GIN,16,0.01,0.769020867,0.673113739,0.704060283,0.667094687
GCN,8,0.0005,0.691660892,0.667539414,0.646094638,0.623580974
GAT,8,0.0005,0.714814979,0.689217342,0.69835214,0.660331674
GIN,8,0.0005,0.756352521,0.630419482,0.678483399,0.653701298
GCN,8,0.001057371,0.725665052,0.676858108,0.693003492,0.666916354
GAT,8,0.001057371,0.699626517,0.518130631,0.523242165,0.584721623
GIN,8,0.001057371,0.752347626,0.622789977,0.670159715,0.639179862
GCN,8,0.002236068,0.753623188,0.704842342,0.727039523,0.698369802
GAT,8,0.002236068,0.756371007,0.687331081,0.718925217,0.696844198
GIN,8,0.002236068,0.763101198,0.664653716,0.691262643,0.660445206
GCN,8,0.004728708,0.757779411,0.677083333,0.714236594,0.689605949
GAT,8,0.004728708,0.764164839,0.704842342,0.732145424,0.706962111
GIN,8,0.004728708,0.761778786,0.644988739,0.690989581,0.669968472
GCN,8,0.01,0.772745418,0.693764077,0.730844143,0.70965343
GAT,8,0.01,0.770005841,0.715273086,0.741414172,0.713177908
GIN,8,0.01,0.78037775,0.66714527,0.714533587,0.685857295
