model,hidden_channels,learning_rate,val_loss,precision_val_macro,recall_val_macro,f1_val_macro,mcc_val_macro
GCN,128,0.0004999999999999999,0.7185203284025192,0.5379323053629771,0.6807299721620786,0.5925925925925926,0.2088968013096126
GAT,128,0.0004999999999999999,0.7176177501678467,0.6010437710437712,0.4948101491250269,0.5161096681096681,0.21496316660118997
GIN,128,0.0004999999999999999,0.7449092417955399,0.5259228709979715,0.6576722998622163,0.5717620381485927,0.17056664192044005
GCN,128,0.001057371263440564,0.7250780612230301,0.5524580846831486,0.5830835418834182,0.5421106298415467,0.19466395504346426
GAT,128,0.001057371263440564,0.7140931487083435,0.5558037825059101,0.6286102597268696,0.5844967320261438,0.21572600345629725
GIN,128,0.001057371263440564,0.7429556548595428,0.6206937514849132,0.4553346643046612,0.5078315734053439,0.22266767724013264
GCN,128,0.0022360679774997894,0.7238451838493347,0.534396497811132,0.4668691242771044,0.47905568374299773,0.1769603378593998
GAT,128,0.0022360679774997894,0.7346074730157852,0.5933188090050835,0.5936038391961683,0.5329331251104393,0.2016332248862042
GIN,128,0.0022360679774997894,0.7562997192144394,0.5297803458732891,0.5394576760490772,0.5250286664373351,0.17203531976329975
GCN,128,0.004728708045015879,0.7599999159574509,0.6119674417783428,0.546449962039198,0.5177302774713949,0.2277701311635873
GAT,128,0.004728708045015879,0.7516149878501892,0.5370915032679738,0.6809268059500043,0.5508057126922158,0.14977354019052982
GIN,128,0.004728708045015879,0.7258040755987167,0.5193479193479192,0.576220603811077,0.5408491418247516,0.14366377326449242
GCN,128,0.01,0.9353519454598427,0.6484266221108327,0.6565625322198164,0.43587632884133803,0.06919559074707186
GAT,128,0.01,0.9738122001290321,0.315042875387703,0.6557377049180327,0.4248004910988336,0.0643491760926406
GIN,128,0.01,0.9275756627321243,0.35144410465511383,0.6017883755588673,0.44354293441514536,0.17081712319037942
GCN,64,0.0004999999999999999,0.7239147573709488,0.5288456080601674,0.6533269596678195,0.5728204351557373,0.20327955443766937
GAT,64,0.0004999999999999999,0.7165795564651489,0.5518385160938353,0.6718180880878065,0.5963235666760786,0.22001075847229692
GIN,64,0.0004999999999999999,0.7190480530261993,0.5682161753590325,0.542998809624235,0.510542237183278,0.12066718533001347
GCN,64,0.001057371263440564,0.7231052815914154,0.5259644838592207,0.604107265041382,0.5495373782035536,0.16960374883340443
GAT,64,0.001057371263440564,0.7243890166282654,0.5193218954248366,0.6131166287058647,0.52113918423141,0.17205110891308736
GIN,64,0.001057371263440564,0.7347830981016159,0.5023042955373782,0.5135655972030856,0.48779627228382155,0.11481288599883
GCN,64,0.0022360679774997894,0.7220004796981812,0.5615445595192431,0.5979398063530449,0.5599837662337662,0.1957574265661715
