pAD,pAR,UniprotEntry,pDN,pLOF,pGOF
0.703749,0.35051388,Q14315,0.599501371383667,0.577622652053833,0.3605444133281708
0.7429176,0.26648855,P45985,0.5592041015625,0.37885570526123047,0.5838111042976379
0.8204571,0.17433251,Q9NZV8,0.5287750363349915,0.3839851915836334,0.6696212291717529
0.7342868,0.2611099,Q86SQ0,0.545969545841217,0.577674925327301,0.3586384654045105
0.6311086,0.40730676,Q9UMS6,0.4710030257701874,0.6362834572792053,0.370488703250885
0.87224084,0.10577628,Q9UKB1,0.5208446979522705,0.5028674006462097,0.3628919720649719
0.77449584,0.22131778,O43255,0.53905189037323,0.5237013697624207,0.35722362995147705
0.59854513,0.4368062,O95994,0.6114727258682251,0.4030212163925171,0.4318925440311432
0.7908359,0.23887779,Q12955,0.5881091952323914,0.6268380880355835,0.3429434597492218
0.85075814,0.13190342,P63279,0.5690204501152039,0.31777530908584595,0.5071815252304077
0.5348394,0.5497633,Q969Q1,0.5742841362953186,0.39637455344200134,0.43302685022354126
0.77433914,0.21112068,P27986,0.5660863518714905,0.4121869206428528,0.47323495149612427
0.68387604,0.33363068,P35348,0.5489271879196167,0.34423670172691345,0.6921018958091736
0.81996036,0.16694197,P62993,0.5531505942344666,0.45251983404159546,0.35450392961502075
0.87390083,0.1085982,Q9H422,0.4781595766544342,0.5474064350128174,0.45068302750587463
0.80070496,0.17579743,P00519,0.46395206451416016,0.4580412209033966,0.5818294286727905
0.83012456,0.16423297,Q9H4A3,0.4779963195323944,0.551788866519928,0.5023148059844971
0.9072365,0.06359631,Q15366,0.4646943211555481,0.4576772153377533,0.4806321859359741
0.8209657,0.17937495,P31749,0.5422994494438171,0.290423184633255,0.6099398136138916
0.5999708,0.42354518,P19174,0.5608540177345276,0.5090702176094055,0.3778887689113617
0.5964808,0.40491596,P16333,0.5545703172683716,0.4337647557258606,0.3949789106845856
0.7794809,0.20459844,P06241,0.5433574914932251,0.4248310327529907,0.5576223731040955
0.5542067,0.52050129999999994,Q96RR4,0.5080466866493225,0.4484802484512329,0.47792649269104
0.77705956,0.19962427,P46108,0.4539231956005096,0.49065637588500977,0.46832242608070374
0.82009685,0.15992483,Q9HAU4,0.5595921277999878,0.36994990706443787,0.5309621691703796
0.6059087,0.43661413,P31751,0.6083152890205383,0.2978687286376953,0.5757755637168884
0.63803244,0.3741617,Q5VV17,0.5158995985984802,0.5558165311813354,0.34531348943710327
0.8204929,0.19604255,Q01804,0.4829962849617005,0.5630723237991333,0.4468647539615631
0.6301004,0.40414935,P35368,0.5331214070320129,0.35356414318084717,0.6555008292198181
0.5631037,0.48864046,P25100,0.5092867016792297,0.3658728301525116,0.6289421916007996
0.6559666,0.38125697,P09958,0.5123937129974365,0.40644335746765137,0.5232944488525391
0.54328936,0.4549002,Q8WWW0,0.5055086016654968,0.5785629153251648,0.38337987661361694
0.8186802,0.18228585,P45983,0.540248453617096,0.4074693024158478,0.5735562443733215
0.6666989,0.34256336,Q9UPT6,0.4639448821544647,0.6510411500930786,0.42142102122306824
0.7390917,0.2747759,Q9Y6R4,0.4181550741195678,0.4914381206035614,0.6359883546829224
0.81127524,0.1778233,P32121,0.5533432364463806,0.5206401944160461,0.3607414662837982
0.82584363,0.16265513,Q9Y2U5,0.5854771137237549,0.581816554069519,0.31304389238357544
0.7705252,0.24139963,Q13233,0.4095611572265625,0.5003889799118042,0.5563449263572693
0.777503,0.20934004,Q96J02,0.5079895853996277,0.44824570417404175,0.5154115557670593
0.6848999,0.33880097,P45984,0.5595695376396179,0.4414411783218384,0.5349671840667725
0.56165296,0.46002826,Q8WV28,0.5046927332878113,0.620212733745575,0.36955392360687256
0.79180944,0.2271748,P53779,0.5983680486679077,0.3911893367767334,0.4195224344730377
0.70475066,0.32241577,Q99683,0.4797275066375733,0.4012340307235718,0.6504325270652771
0.82491916,0.16646323,Q16539,0.5350072383880615,0.4115065038204193,0.5038145184516907
0.8358794,0.17750305,Q99759,0.5143293142318726,0.6084212064743042,0.34445416927337646
0.7958853,0.20363593,O43318,0.5745061635971069,0.4696687459945678,0.5072146654129028
0.8447885,0.16364075,P19793,0.6359058022499084,0.3989024162292481,0.39710938930511475
0.82311964,0.17563246,Q99558,0.5048975348472595,0.4821652173995972,0.4996036589145661
0.81046873,0.18786521,P28482,0.5328905582427979,0.3934827446937561,0.5535844564437866
0.88003427,0.09148484,Q96I25,0.4645762443542481,0.6399151086807251,0.3794189393520355
0.61895037,0.42265642,O15519,0.4904079139232635,0.553780734539032,0.3654807507991791
0.76960397,0.23597616,Q02779,0.4597024619579315,0.5728126168251038,0.45920830965042114
0.7762703,0.2295685,P41279,0.5429348945617676,0.28494927287101746,0.605554461479187
0.6840713,0.35773796,P27361,0.5169864296913147,0.4015360176563263,0.5303142070770264
0.7971269,0.25131008,Q12852,0.5581111311912537,0.43892931938171387,0.5744215250015259
0.81651855,0.198241,P07196,0.5706839561462402,0.5154007077217102,0.3389064073562622
0.68717986,0.268976,P52798,0.4888017177581787,0.5111370086669922,0.3957749307155609
0.71783733,0.3308052,P27824,0.49960216879844666,0.5363019704818726,0.4692878127098083
0.58765817,0.4540748,P53778,0.5432616472244263,0.33892226219177246,0.5430784225463867
0.70942587,0.31199497,Q16584,0.530886709690094,0.5976989269256592,0.4522475004196167
0.7477153,0.26370627,Q02750,0.5108906030654907,0.39022618532180786,0.6311009526252747
0.6243462,0.45624202,O60500,0.5134180188179016,0.5086881518363953,0.36470189690589905
0.69969296,0.3288549,P49407,0.5239991545677185,0.5197995901107788,0.4027588665485382
0.67619985,0.34073672,Q96RU8,0.6048280596733093,0.4032668173313141,0.4693257212638855
0.7996068,0.2119646,O00213,0.47356483340263367,0.6373986005783081,0.3866122663021088
0.7641336,0.23726138,Q9Y243,0.5486761927604675,0.4583846032619476,0.4966342747211456
0.65633833,0.3724309,O14733,0.47697147727012634,0.4472236633300781,0.5921280384063721
0.6796997,0.35860723,Q9UM73,0.4609861969947815,0.4969995021820069,0.5959063172340393
0.7941394,0.22244936,O60271,0.4674118757247925,0.5398446917533875,0.47024238109588623
0.63759935,0.37385893,O43556,0.5612786412239075,0.4735381007194519,0.3951958119869232
0.7466287,0.27231532,Q9Y4J8,0.5367017388343811,0.5536127090454102,0.4420355558395386
0.52449435,0.5119628,O00501,0.5699300169944763,0.29733285307884216,0.6384261250495911
0.8241802,0.20168263,P12814,0.524278998374939,0.4085966646671295,0.4784231185913086
0.8504128,0.16679092,P35609,0.5277267098426819,0.37878382205963135,0.6121213436126709
0.74246085,0.4006344,O75112,0.5125728845596313,0.6226809024810791,0.3590492904186249
0.8092862,0.1739141,Q08209,0.4885357320308686,0.5108466148376465,0.43537524342536926
0.81622326,0.20784554,O43707,0.4978411793708801,0.427829384803772,0.5105343461036682
0.50894207,0.5030022,O76011,0.6438666582107544,0.47763511538505554,0.38221409916877747
0.5362744,0.4474307,P61236,0.6007884740829468,0.36795374751091,0.27172529697418213
0.5114473,0.52120405,Q969G2,0.610099196434021,0.6098141074180603,0.2971286475658417
0.7756212,0.21678016,O00303,0.4905308783054352,0.5307413339614868,0.40663111209869385
0.65405107,0.39451608,Q9Y2W7,0.5735976099967957,0.45414653420448303,0.4406576752662658
