pAD,pAR,UniprotEntry
0.703749,0.35051388,Q14315
0.7429176,0.26648855,P45985
0.31172848,0.7638833,Q92629
0.24428135,0.8046875,Q13326
0.42657414,0.65339357,Q9NP98
0.8204571,0.17433251,Q9NZV8
0.7342868,0.2611099,Q86SQ0
0.45060554,0.60199434,O15357
0.33800912,0.694322,Q9BYV2
0.49807334,0.49029785,Q6P050
0.39133003,0.7700813,Q702N8
0.6311086,0.40730676,Q9UMS6
0.87224084,0.10577628,Q9UKB1
0.77449584,0.22131778,O43255
0.59854513,0.4368062,O95994
0.7908359,0.23887779,Q12955
0.85075814,0.13190342,P63279
0.5348394,0.5497633,Q969Q1
0.77433914,0.21112068,P27986
0.68387604,0.33363068,P35348
0.81996036,0.16694197,P62993
0.87390083,0.1085982,Q9H422
0.80070496,0.17579743,P00519
0.32206228,0.74613607,P40692
0.83012456,0.16423297,Q9H4A3
0.9072365,0.06359631,Q15366
0.8209657,0.17937495,P31749
0.5999708,0.42354518,P19174
0.5964808,0.40491596,P16333
0.7794809,0.20459844,P06241
0.5542067,0.52050129999999994,Q96RR4
0.3574573,0.66283774,Q8TDC0
0.77705956,0.19962427,P46108
0.82009685,0.15992483,Q9HAU4
0.21849339,0.7808949,Q9Y4P8
0.6059087,0.43661413,P31751
0.63803244,0.3741617,Q5VV17
0.8204929,0.19604255,Q01804
0.42987472,0.6579617,Q70EK8
0.28042796,0.777333,P20807
0.6301004,0.40414935,P35368
0.44071403,0.65575397,Q9NPC6
0.5631037,0.48864046,P25100
0.49409986,0.50183415,O95379
0.6559666,0.38125697,P09958
0.14546506,0.87067187,O15259
0.54328936,0.4549002,Q8WWW0
0.3005706,0.77326274,Q8NBH2
0.476349,0.62042826,Q9UBF9
0.8186802,0.18228585,P45983
0.6666989,0.34256336,Q9UPT6
0.7390917,0.2747759,Q9Y6R4
0.81127524,0.1778233,P32121
0.82584363,0.16265513,Q9Y2U5
0.7705252,0.24139963,Q13233
0.777503,0.20934004,Q96J02
0.6848999,0.33880097,P45984
0.56165296,0.46002826,Q8WV28
0.79180944,0.2271748,P53779
0.70475066,0.32241577,Q99683
0.82491916,0.16646323,Q16539
0.8358794,0.17750305,Q99759
0.7958853,0.20363593,O43318
0.41980764,0.56000733,Q8TEQ6
0.32383433,0.70711344,Q14596
0.8447885,0.16364075,P19793
0.82311964,0.17563246,Q99558
0.81046873,0.18786521,P28482
0.88003427,0.09148484,Q96I25
0.61895037,0.42265642,O15519
0.76960397,0.23597616,Q02779
0.7762703,0.2295685,P41279
0.6840713,0.35773796,P27361
0.7971269,0.25131008,Q12852
0.81651855,0.198241,P07196
0.68717986,0.268976,P52798
0.48885846,0.5473937,Q12851
0.71783733,0.3308052,P27824
0.58765817,0.4540748,P53778
0.70942587,0.31199497,Q16584
0.48509556,0.56381714,Q9NRW4
0.7477153,0.26370627,Q02750
0.6243462,0.45624202,O60500
0.69969296,0.3288549,P49407
0.67619985,0.34073672,Q96RU8
0.7996068,0.2119646,O00213
0.7641336,0.23726138,Q9Y243
